min_remediation_steps,recent_correct_streak_threshold,mastery_growth_delta_threshold,prototype,ab2_success_rate,ab3_success_rate,ab2_avg_total_steps,ab3_avg_total_steps,ab2_avg_polynomial_gain,ab3_avg_polynomial_gain,delta_success_rate,delta_avg_total_steps,delta_avg_polynomial_gain
2,2,0.01,C,0.82,0.91,22.11,21.63,0.3555006619662921,0.3772794666815635,0.09000000000000008,-0.4800000000000004,0.021778804715271383
2,2,0.02,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
2,2,0.02,B,0.56,0.58,25.61,26.44,0.3457654100646906,0.3503438602278027,0.019999999999999907,0.8300000000000018,0.004578450163112091
2,2,0.02,C,0.82,0.91,22.11,21.63,0.3555006619662921,0.3772794666815635,0.09000000000000008,-0.4800000000000004,0.021778804715271383
2,3,0.0,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
2,3,0.0,B,0.56,0.46,25.61,26.3,0.3457654100646906,0.3350150741829065,-0.10000000000000003,0.6900000000000013,-0.01075033588178409
2,3,0.0,C,0.82,0.91,22.11,21.58,0.3555006619662921,0.3732009261953369,0.09000000000000008,-0.5300000000000011,0.017700264229044804
2,3,0.01,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
2,3,0.01,B,0.56,0.46,25.61,26.3,0.3457654100646906,0.3350150741829065,-0.10000000000000003,0.6900000000000013,-0.01075033588178409
2,3,0.01,C,0.82,0.91,22.11,21.58,0.3555006619662921,0.3732009261953369,0.09000000000000008,-0.5300000000000011,0.017700264229044804
2,3,0.02,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
2,3,0.02,B,0.56,0.46,25.61,26.3,0.3457654100646906,0.3350150741829065,-0.10000000000000003,0.6900000000000013,-0.01075033588178409
2,3,0.02,C,0.82,0.91,22.11,21.58,0.3555006619662921,0.3732009261953369,0.09000000000000008,-0.5300000000000011,0.017700264229044804
3,1,0.0,A,0.97,0.97,18.68,18.08,0.364660450516279,0.3838007972686816,0.0,-0.6000000000000014,0.019140346752402615
3,1,0.0,B,0.56,0.47,25.61,26.11,0.3457654100646906,0.3284498606698464,-0.09000000000000008,0.5,-0.0173155493948442
3,1,0.0,C,0.82,0.94,22.11,21.46,0.3555006619662921,0.3900942903948873,0.12,-0.6499999999999986,0.0345936284285952
3,1,0.01,A,0.97,0.97,18.68,18.08,0.364660450516279,0.3838007972686816,0.0,-0.6000000000000014,0.019140346752402615
3,1,0.01,B,0.56,0.47,25.61,26.11,0.3457654100646906,0.3284498606698464,-0.09000000000000008,0.5,-0.0173155493948442
3,1,0.01,C,0.82,0.94,22.11,21.46,0.3555006619662921,0.3900942903948873,0.12,-0.6499999999999986,0.0345936284285952
3,1,0.02,A,0.97,0.97,18.68,18.08,0.364660450516279,0.3838007972686816,0.0,-0.6000000000000014,0.019140346752402615
3,1,0.02,B,0.56,0.47,25.61,26.11,0.3457654100646906,0.3284498606698464,-0.09000000000000008,0.5,-0.0173155493948442
3,1,0.02,C,0.82,0.94,22.11,21.46,0.3555006619662921,0.3900942903948873,0.12,-0.6499999999999986,0.0345936284285952
3,2,0.0,A,0.97,0.97,18.68,18.08,0.364660450516279,0.3838007972686816,0.0,-0.6000000000000014,0.019140346752402615
3,2,0.0,B,0.56,0.53,25.61,26.52,0.3457654100646906,0.3520380698881964,-0.030000000000000027,0.9100000000000001,0.006272659823505833
3,2,0.0,C,0.82,0.91,22.11,21.71,0.3555006619662921,0.393834125007833,0.09000000000000008,-0.3999999999999986,0.038333463041540894
3,2,0.01,A,0.97,0.97,18.68,18.08,0.364660450516279,0.3838007972686816,0.0,-0.6000000000000014,0.019140346752402615
3,2,0.01,B,0.56,0.53,25.61,26.52,0.3457654100646906,0.3520380698881964,-0.030000000000000027,0.9100000000000001,0.006272659823505833
3,2,0.01,C,0.82,0.91,22.11,21.71,0.3555006619662921,0.393834125007833,0.09000000000000008,-0.3999999999999986,0.038333463041540894
3,2,0.02,A,0.97,0.97,18.68,18.08,0.364660450516279,0.3838007972686816,0.0,-0.6000000000000014,0.019140346752402615
3,2,0.02,B,0.56,0.53,25.61,26.52,0.3457654100646906,0.3520380698881964,-0.030000000000000027,0.9100000000000001,0.006272659823505833
3,2,0.02,C,0.82,0.91,22.11,21.71,0.3555006619662921,0.393834125007833,0.09000000000000008,-0.3999999999999986,0.038333463041540894
3,3,0.0,A,0.97,0.97,18.68,18.08,0.364660450516279,0.3838007972686816,0.0,-0.6000000000000014,0.019140346752402615
3,3,0.0,B,0.56,0.39,25.61,27.04,0.3457654100646906,0.3400908484210469,-0.17000000000000004,1.4299999999999997,-0.005674561643643661
3,3,0.0,C,0.82,0.88,22.11,21.66,0.3555006619662921,0.3910399875927009,0.06000000000000005,-0.4499999999999993,0.035539325626408824
3,3,0.01,A,0.97,0.97,18.68,18.08,0.364660450516279,0.3838007972686816,0.0,-0.6000000000000014,0.019140346752402615
3,3,0.01,B,0.56,0.39,25.61,27.04,0.3457654100646906,0.3400908484210469,-0.17000000000000004,1.4299999999999997,-0.005674561643643661
3,3,0.01,C,0.82,0.88,22.11,21.66,0.3555006619662921,0.3910399875927009,0.06000000000000005,-0.4499999999999993,0.035539325626408824
3,3,0.02,A,0.97,0.97,18.68,18.08,0.364660450516279,0.3838007972686816,0.0,-0.6000000000000014,0.019140346752402615
3,3,0.02,B,0.56,0.39,25.61,27.04,0.3457654100646906,0.3400908484210469,-0.17000000000000004,1.4299999999999997,-0.005674561643643661
3,3,0.02,C,0.82,0.88,22.11,21.66,0.3555006619662921,0.3910399875927009,0.06000000000000005,-0.4499999999999993,0.035539325626408824
